"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1334","9.9610106732349024E-1","1.4325165478280069E-19","3.7258189322944523E-31","-2.6410635006400278E-16","-5.4363508539345586E-4","-1.1796024897853763E-30","3.0001421878298400E+0","3.0254559971654671E+0","6.6228351828411447E-1","1.0112152264336401E+3","1.901109735892602E-7"
"1333","9.9614083089369976E-1","1.4325136942081145E-19","-6.6757355771326050E-31","1.3293591148818777E-16","-7.9838661270227140E-4","2.5052143487080021E-31","3.0001419218218102E+0","3.0266011195089702E+0","6.6253418980445111E-1","1.0074446913753000E+3","1.901109735892602E-7"
"1332","9.9620922064275341E-1","1.4325134602965053E-19","2.8427963271907676E-33","-3.8583509467462808E-16","-1.2278760395888499E-3","3.3069074025409291E-32","3.0001412537351499E+0","3.0294941020086275E+0","6.6316747438370205E-1","9.9801911418391296E+2","1.901109735892602E-7"
"1331","9.9626698740150021E-1","1.4325134518369558E-19","-8.0701734833443201E-34","-1.3129258056891321E-16","-1.5828679680342736E-3","-1.6810961442880467E-33","3.0001404994889600E+0","3.0327896546123707E+0","6.6388888304908744E-1","9.8745377387184601E+2","1.901109735892602E-7"
"1330","9.9631766448456738E-1","1.4325134513257083E-19","3.0176960366523596E-35","3.2717170581410114E-16","-1.8889684299437074E-3","4.6540042620117684E-35","3.0001397071302200E+0","3.0362858563211605E+0","6.6465421454638829E-1","9.7644080835303600E+2","1.901109735892602E-7"
"1329","9.9636331052773297E-1","1.4325373429605045E-19","-2.3941602752812813E-26","2.0511217079057981E-15","-2.1607689796632593E-3","-1.9070504434065323E-26","3.0001388966743701E+0","3.0398985962610965E+0","6.6544505669392173E-1","9.6526734258499698E+2","1.901109735892602E-7"
"1328","9.9640517864537348E-1","1.4325323955582895E-19","2.4958534830143756E-27","-6.2328378835327993E-17","-2.4070549982459144E-3","3.8026065757930969E-27","3.0001380779410298E+0","3.0435864600982359E+0","6.6625234374066833E-1","9.5407283037921195E+2","1.901109735892602E-7"
"1327","9.9644408260366824E-1","1.4325464163295557E-19","-8.2963358332579162E-27","-2.7323055082640024E-16","-2.6334925715403076E-3","-3.0709348241567652E-27","3.0001372563480602E+0","3.0473264038071797E+0","6.6707103126415712E-1","9.4293283348249997E+2","1.901109735892602E-7"
"1326","9.9648058126170058E-1","1.4325375767934580E-19","1.1438076372685840E-27","-4.8539832312627615E-16","-2.8439536572184851E-3","-1.6083429577388536E-28","3.0001364351431401E+0","3.0511044124525775E+0","6.6789805134315561E-1","9.3189139005228401E+2","1.901109735892602E-7"
"1325","9.9651507621749580E-1","1.4325397482171939E-19","3.8771278891525158E-27","-6.1575919823066202E-16","-3.0412097344466962E-3","1.2625350933562125E-27","3.0001356163921700E+0","3.0549113755460677E+0","6.6873140965803324E-1","9.2097536981616895E+2","1.901109735892602E-7"
