"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"819","9.7748175708167062E-1","-1.2844955661062785E-21","1.5560134012085195E-3","2.3268901724697762E-16","1.7973750978536162E-2","-4.2927254818154733E-17","3.0033567600392099E+0","3.0378505750205589E+0","1.7074668743091070E+0","8.8746787529152198E+2","2.528017528540000E-5"
"818","9.7748383138857753E-1","-1.2844688771294657E-21","1.7050264581964171E-3","7.3264492477645566E-17","1.8013116595032911E-2","-1.9490112993136581E-16","3.0033536712684898E+0","3.0377778243161924E+0","1.7074259837469414E+0","8.8457438622746804E+2","2.528017528540000E-5"
"817","9.7748610992403617E-1","-1.2845613735570814E-21","1.8536814758443455E-3","1.5111288264008994E-16","1.8055778108871552E-2","-1.5403371054229373E-17","3.0033503125031600E+0","3.0376984381205618E+0","1.7073813636130772E+0","8.8143631785590105E+2","2.528017528540000E-5"
"816","9.7748859583021752E-1","-1.2845755035401783E-21","2.0019572787176110E-3","4.8969195934719385E-16","1.8101656003016133E-2","-1.8468425914067616E-16","3.0033466872596302E+0","3.0376124294348505E+0","1.7073330212150140E+0","8.7805902196308705E+2","2.528017528540000E-5"
"815","9.7749129240559351E-1","-1.2845030216036299E-21","2.1498348003098893E-3","4.3463024291111494E-16","1.8150667288589013E-2","-1.2744893505429998E-16","3.0033427992045798E+0","3.0375198101016649E+0","1.7072809632090555E+0","8.7444810047257397E+2","2.528017528540000E-5"
"814","9.7749420308477486E-1","-1.2844711779393007E-21","2.2972970821673018E-3","7.8862742295302825E-16","1.8202726078543612E-2","-5.1362613767872584E-16","3.0033386521294201E+0","3.0374205904124718E+0","1.7072251953796667E+0","8.7060938286567296E+2","2.528017528540000E-5"
"813","9.7749733141868722E-1","-1.2841808114440317E-21","2.4443292501181864E-3","7.6293883084128302E-16","1.8257744142841592E-2","-2.8120910129779595E-16","3.0033342499255902E+0","3.0373147787294466E+0","1.7071657224269263E+0","8.6654888253244997E+2","2.528017528540000E-5"
"812","9.7750068105530374E-1","-1.2840695344837922E-21","2.5909184701649762E-3","1.5579301166099512E-16","1.8315631438885479E-2","-1.5047416843834521E-16","3.0033295965611000E+0","3.0372023811265652E+0","1.7071025477647985E+0","8.6227277056015600E+2","2.528017528540000E-5"
"811","9.7750425572109501E-1","-1.2840515371624153E-21","2.7370538867368017E-3","-1.2100079761413126E-16","1.8376296612300825E-2","-1.6872751938823791E-16","3.0033246960586002E+0","3.0370834010528522E+0","1.7070356733318564E+0","8.5778734239855601E+2","2.528017528540000E-5"
"810","9.7750805920334238E-1","-1.2841873727600339E-21","2.8827265460705407E-3","9.7918421992372454E-17","1.8439647464305500E-2","-8.8188352282248772E-16","3.0033195524749301E+0","3.0369578390199043E+0","1.7069650994156496E+0","8.5309899172085500E+2","2.528017528540000E-5"
