"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"737","1.1407533607778770E+0","-3.2347681012097395E-28","1.6224128441277605E-1","4.8150287724734346E-15","-2.2315472748055382E-1","-4.9205021517894258E-15","3.0574752807658299E+0","3.1150421790756955E+0","1.3807903581409612E+1","6.6449625015881097E+1","1.215058560962404E-2"
"736","1.0122799363635586E+0","-5.3758632098178158E-27","1.7433726909892580E-1","-6.3691711060010429E-13","-8.1013206859556083E-2","9.0898305818524750E-12","3.0574383384268198E+0","1.3805945722576671E+0","6.1196977899052962E+0","1.0161015918432399E+0","1.215058560962404E-2"
"735","1.1405992608665365E+0","-6.2196126670640331E-28","1.6247581662968341E-1","6.1886778566686891E-15","-2.2321284275412800E-1","-2.6318334702420322E-15","3.0572406925840001E+0","3.1136465081851354E+0","1.3801717055519953E+1","6.5914902900407199E+1","1.215058560962404E-2"
"734","1.0124398243489876E+0","3.2601189726229629E-27","1.7448569933018560E-1","-5.5017779860440406E-13","-8.1395656075921696E-2","8.1475297463598265E-12","3.0572334740229001E+0","1.3828082399343335E+0","6.1295102123649379E+0","1.0217645315736601E+0","1.215058560962404E-2"
"733","1.0125999368972545E+0","-2.6368245591534615E-27","1.7463345311399422E-1","-6.7005093480079505E-13","-8.1778024775556610E-2","9.6040184417609798E-12","3.0570294003821199E+0","1.3850210100060258E+0","6.1393186560524713E+0","1.0274121130107901E+0","1.215058560962404E-2"
"732","1.1404448983255613E+0","8.1638302190528872E-28","1.6270989086201232E-1","5.2047314121557969E-15","-2.2327028683314948E-1","-5.1642208166693227E-15","3.0570063800845699E+0","3.1122454562758808E+0","1.3795506677437279E+1","6.5383395451351603E+1","1.215058560962404E-2"
"731","1.0127602712541086E+0","3.6562785973599126E-27","1.7478053615222380E-1","-5.2541991984319324E-13","-8.2160306209662123E-2","7.8042517967080476E-12","3.0568261097279201E+0","1.3872329356190785E+0","6.1491233565471983E+0","1.0330443324898599E+0","1.215058560962404E-2"
"730","1.1402902739844296E+0","-1.0333135717540585E-27","1.6294350416279735E-1","4.9883992934874362E-15","-2.2332705780082399E-1","4.5368394648759523E-16","3.0567723474846802E+0","3.1108390076904606E+0","1.3789272377757440E+1","6.4855094099123306E+1","1.215058560962404E-2"
"729","1.0129208246990893E+0","7.1946542491777731E-27","1.7492695408737524E-1","-5.2383126304123918E-13","-8.2542493721351376E-2","7.5976901151675062E-12","3.0566235944050701E+0","1.3894440692577927E+0","6.1589245464938589E+0","1.0386611838642601E+0","1.215058560962404E-2"
"728","1.1401353886808181E+0","1.3389939104833572E-27","1.6317665357439043E-1","6.1332111508631013E-15","-2.2338315374401418E-1","-1.7864482615140481E-15","3.0565385990135399E+0","3.1094271468686308E+0","1.3783014087507265E+1","6.4329990199353205E+1","1.215058560962404E-2"
"727","1.0130815945451286E+0","-2.4041421352346335E-27","1.7507271250274359E-1","-4.3031418209376522E-13","-8.2924580741861431E-2","6.6122126453513739E-12","3.0564218468787101E+0","1.3916544627479515E+0","6.1687224556182052E+0","1.0442626594909901E+0","1.215058560962404E-2"
